transaction date,district,transaction type,land shifting total area,num_building,num_land,num_garage,total floor number,building state,main building materials,complete year,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd
2020-01-09,Wenshan District,Land+Building,6.59,1,1,0,11.0,Suite,Reinforced Concrete,83.0,55.92,1,1,1,1,No carpark,0.0,0,28.21,0.0,0.0,0,5500000,98355
2020-01-07,Datong District,Land+Building,6.02,1,3,0,19.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,63.45,2,1,1,1,No carpark,0.0,0,40.04,0.0,4.46,1,14880000,234515
2020-01-07,Songshan District,Land+Building,4.49,1,1,0,15.0,Apartment_11storeyorgreater,Reinforced Concrete,72.0,52.44,0,0,0,1,No carpark,0.0,0,40.64,0.0,3.6,1,9500000,181159
2020-01-08,Zhongshan District,Land+Building,14.51,1,1,0,6.0,Suite,Reinforced Concrete,88.0,52.78,1,1,1,0,No carpark,0.0,0,29.03,0.0,3.88,0,10400000,197044
2020-01-14,Neihu District,Land+Building+Garage,10.38,1,1,1,15.0,Apartment_11storeyorgreater,Reinforced Concrete,107.0,114.96,2,1,1,1,Lifting Plane,13.73,2000000,57.24,2.25,5.33,1,32000000,296355
2020-01-08,Daan District,Land+Building,6.45,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,,33.879999999999995,3,2,1,1,No carpark,0.0,0,26.02,0.0,4.62,1,7000000,206612
2020-01-02,Songshan District,Land+Building,25.29,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,75.0,206.94,4,2,1,1,No carpark,0.0,0,155.23,0.0,23.82,1,68000000,328598
2020-01-08,ZhongZheng District,Land+Building,14.8,1,1,0,5.0,Apartment_5storey,Strengthened Brickwork,,35.11,2,1,1,0,No carpark,0.0,0,30.16,0.0,4.95,0,5500000,156651
2020-01-21,Shilin District,Land+Building,32.33,1,1,0,3.0,Apartment_5storey,Strengthened Brickwork,62.0,75.22,3,1,1,0,No carpark,0.0,0,75.22,0.0,0.0,0,8550000,113667
2020-01-15,Zhongshan District,Land+Building,4.78,1,2,0,7.0,Suite,Reinforced Concrete,66.0,24.99,1,1,1,0,No carpark,0.0,0,16.28,0.0,2.99,0,3900000,156062
